Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
BOT,92.12,1.0,1.0,,27.302,32.508,HARD,Alfa Romeo,False,2023,Canada
SAI,103.866,1.0,1.0,,18.702,48.235,MEDIUM,Ferrari,False,2023,Australia
TSU,106.39,1.0,1.0,,52.638,30.125,MEDIUM,AlphaTauri,False,2023,Austria
HUL,89.133,1.0,1.0,,34.586,24.855,SOFT,Haas F1 Team,False,2023,Spain
STR,99.562,1.0,1.0,,46.215,21.708,HARD,Aston Martin,False,2023,Monaco
ALO,96.044,1.0,1.0,,40.05,34.036,MEDIUM,Aston Martin,False,2023,Abu Dhabi
GAS,119.785,1.0,1.0,,45.605,25.499,MEDIUM,Alpine,False,2023,Azerbaijan
ALB,92.275,1.0,1.0,,35.248,25.235,SOFT,Williams,False,2023,Spain
ALO,93.34,1.0,1.0,,32.049,29.284,MEDIUM,Aston Martin,False,2023,Italy
MAG,143.466,1.0,1.0,,72.761,28.8,MEDIUM,Haas F1 Team,False,2023,Japan
HUL,141.615,1.0,1.0,,70.005,29.933,SOFT,Haas F1 Team,False,2023,Japan
MAG,108.345,1.0,1.0,,45.219,28.65,MEDIUM,Haas F1 Team,False,2023,Singapore
MAG,105.771,1.0,1.0,,41.08,27.183,MEDIUM,Haas F1 Team,False,2023,Great Britain
ALO,92.766,1.0,1.0,,28.764,30.59,SOFT,Aston Martin,False,2023,Netherlands
STR,104.67,1.0,1.0,,44.143,24.609,SOFT,Aston Martin,False,2023,Bahrain
SAR,106.855,1.0,1.0,,45.33,24.706,SOFT,Williams,False,2023,Bahrain
PER,103.446,1.0,1.0,,36.299,26.252,MEDIUM,Red Bull Racing,False,2023,Mexico
SAR,103.792,1.0,1.0,,40.544,26.95,MEDIUM,Williams,False,2023,Great Britain
VER,110.456,1.0,1.0,,43.217,25.646,MEDIUM,Red Bull Racing,False,2023,Azerbaijan
NOR,92.227,1.0,1.0,,28.594,30.567,SOFT,McLaren,False,2023,Netherlands
BOT,95.238,1.0,1.0,,33.595,24.605,MEDIUM,Alfa Romeo,False,2023,Hungary
ZHO,108.931,1.0,1.0,,41.918,34.847,MEDIUM,Alfa Romeo,False,2023,United States
VER,105.537,1.0,1.0,,41.862,34.041,MEDIUM,Red Bull Racing,False,2023,United States
ALO,94.72,1.0,1.0,,35.977,22.835,MEDIUM,Aston Martin,False,2023,Mexico
MAG,109.33,1.0,1.0,,46.858,25.043,HARD,Haas F1 Team,False,2023,Bahrain
GAS,141.63,1.0,1.0,,72.075,42.309,SOFT,Alpine,False,2023,Brazil
SAR,97.689,1.0,1.0,,44.183,21.567,MEDIUM,Williams,False,2023,Monaco
RUS,97.854,1.0,1.0,,18.88,44.614,MEDIUM,Mercedes,False,2023,Australia
BOT,121.163,1.0,1.0,,52.017,30.518,SOFT,Alfa Romeo,False,2023,Belgium
ZHO,100.96,1.0,1.0,,39.804,36.005,MEDIUM,Alfa Romeo,False,2023,Abu Dhabi
GAS,108.429,1.0,1.0,,41.792,35.191,MEDIUM,Alpine,False,2023,United States
LEC,88.755,1.0,1.0,,29.908,28.623,MEDIUM,Ferrari,False,2023,Italy
